# w_1 w_2 VF 
1.947041715956214336e+00 1.682750341834016172e+00 1.636498497740829450e+00
3.910308109655639353e+00 9.240906653597894760e+00 -6.231419365183684889e+00
5.166510668168541542e+00 6.046128637300815178e+00 -9.952342873439210535e-01
9.562879871577342428e+00 9.103980156439504867e+00 -5.881970466783970508e+00
6.991279559687442635e+00 5.194952960400382125e+00 -2.526772431447188438e-01
3.455361328503219198e+00 7.113593141108895956e+00 -2.557607778260718945e+00
6.013649916265956463e+00 4.540952983095894346e+00 3.692658383515645681e-01
9.411742373406406514e+00 7.537977826259353975e+00 -3.188013217062691140e+00
3.673356724260318451e+00 5.328818517364390495e+00 -2.023792393738421680e-01
6.874058201824993830e+00 3.231166466393973202e+00 9.565558632893935709e-01
5.468069602764962234e+00 5.722022885852036111e+00 -6.401485054229869576e-01
7.340890941655490387e+00 2.169264545020659796e+00 9.054072191065625219e-01
4.560119662440666133e+00 5.203757644641783031e+00 -7.734017458278863444e-02
8.105608887572916643e+00 8.568701353841580826e+00 -4.781693269294921222e+00
2.010861692457191818e+00 3.441831557455065749e+00 1.369599949539404449e+00
7.950300712077165599e+00 7.466358377947807101e-01 -5.921167853812239201e-01
8.024400999321937178e+00 2.531730104574208440e+00 9.089574296958726762e-01
8.986045567525833278e+00 5.146570008961210974e+00 -3.962928614928404869e-01
8.067416241315919834e+00 1.666417384341039920e+00 5.496801878034585087e-01
5.487099413990810248e+00 8.491958967343414599e+00 -4.723949309554884124e+00
9.184798098452361614e+00 4.326395747595261909e+00 9.291059515089550302e-02
1.392320969571979872e-01 9.479135279429566907e+00 -8.831790417578305963e+00
1.134827101694974916e+00 5.823265050473662718e+00 -1.107815279712669465e+00
9.531305240432445203e+00 7.647117864953573374e+00 -3.383044192538365635e+00
5.562562528868752132e+00 1.821361871307378699e+00 1.105661414563654077e+00
7.031805998331751573e-01 2.854538480417780466e+00 1.507075163681291130e+00
8.702265895920229255e+00 4.481330739042133082e+00 1.323861718992684899e-01
7.505370718369079874e+00 3.055528284756184654e+00 9.041252769820840030e-01
3.600341236002441381e+00 1.768412141405393490e+00 1.422704989963675004e+00
5.077823824447558199e-01 2.074426131385561867e+00 1.632345906487897125e+00
9.966363335246176958e-02 5.129460606869177930e+00 -1.141370113473387349e+00
7.255765521757298941e+00 4.522265082294337546e+00 2.737529020523634671e-01
5.663963293286866651e+00 1.015725601470517103e-01 -1.230326421820793215e+00
5.518002502772506368e+00 6.135139584416076097e+00 -1.107397267682246778e+00
