# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
3.801483666713521892e+00 5.112535359075872421e+00 1.000000000000000000e+00 -2.545837623292772633e-01 9.712687338584069963e+00 9.778145136757379063e+00 1.996289140081227013e-07 1.283686071037138943e-01 2.840576416180660146e-01 6.939114270939032991e-01 1.046729758583791359e+00 -2.940475802269637562e-02 -6.349592436642126358e-03 2.586427642336275312e-02 3.437208428995744414e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.654459876600039792e+00 5.080787396892661789e+00 0.000000000000000000e+00 3.438017282161904831e-01 1.028200269254369914e+01 1.040560076388868538e+01 1.384945311300547415e-06 1.364423864987935886e-01 2.815354634639106735e-01 7.207439790054603890e-01 1.042410790320857927e+00 -3.778822395459968675e-02 -3.750477130951068716e-02 4.985366305049865332e-02 3.647270491677354065e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.465518756827041358e+00 4.893263540345108353e+00 0.000000000000000000e+00 4.773187803956471242e-01 1.043489218595949808e+01 1.051974537483179972e+01 1.439037939865362941e-06 1.420739235822865432e-01 2.589717699229900916e-01 7.341967107433564621e-01 9.965501170520383312e-01 -4.376621563393356951e-02 -3.963323252249040252e-02 6.560939896428408247e-02 3.758237486754562734e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.246687678657373510e+00 4.695097377732656341e+00 0.000000000000000000e+00 6.414833509029431724e-01 1.058519312709384330e+01 1.069777357471204660e+01 1.305758622344903867e-06 1.231784249121872232e-01 2.373424328727047339e-01 6.792050270905480858e-01 9.543893858280263487e-01 -4.317102034819342293e-02 -4.122218791208709376e-02 8.370151707651984907e-02 3.836803542539635875e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.030832576916406396e+00 4.488986438172220872e+00 0.000000000000000000e+00 8.006730075841215211e-01 1.073736433004950719e+01 1.086398168511873941e+01 1.064393142324678985e-06 8.885587562352825763e-02 2.192160114275836236e-01 5.738035514345849464e-01 9.192263846340615885e-01 -3.611350142513458650e-02 -3.315554455648594967e-02 9.229408338876510243e-02 3.791760363860567640e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.850265069790733463e+00 4.323208715389791124e+00 0.000000000000000000e+00 9.192879866666867628e-01 1.084925377244428724e+01 1.098932220088908984e+01 8.319294776430853279e-07 6.043329351497628288e-02 2.074043827885638791e-01 4.733112344200867128e-01 8.922188106554145293e-01 -2.691015311226507833e-02 -2.782226252362107743e-02 9.960555121119796240e-02 3.772876893164851114e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.715714304229408071e+00 4.184097402771685736e+00 0.000000000000000000e+00 9.937325216617391987e-01 1.089422651198328573e+01 1.109323853134019622e+01 6.393228166944654069e-07 4.266598049638536949e-02 1.983596744841982229e-01 3.981568354519926523e-01 8.688870773936443470e-01 -1.907681996396348723e-02 -2.614896734602822903e-02 1.027004069833310496e-01 3.714117885565068611e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.620330204409590635e+00 4.053352566041544591e+00 0.000000000000000000e+00 1.040941987300412208e+00 1.093682721650817768e+01 1.114505675809265028e+01 4.675062370515433746e-07 3.339624729690759963e-02 1.894520652470852440e-01 3.518215907261965647e-01 8.472132986382803210e-01 -1.376433539149601870e-02 -2.377978418393755788e-02 9.811399643297136208e-02 3.557993792836759706e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.551508527452110542e+00 3.934453645121856802e+00 0.000000000000000000e+00 1.073046317583417064e+00 1.097694963972839233e+01 1.116914299543844535e+01 2.900669935503535698e-07 2.943921496154922046e-02 1.803344357591782909e-01 3.283229243817529230e-01 8.278603759888198965e-01 -1.090268179374120905e-02 -2.159889348901078421e-02 8.853662442049881065e-02 3.352332212334990791e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.496995118483404497e+00 3.826459177676802881e+00 0.000000000000000000e+00 1.095299315307327603e+00 1.101322255383180604e+01 1.117737607678285272e+01 8.634985579535233617e-08 2.861636252761612376e-02 1.708300568829912436e-01 3.194317946761269233e-01 8.083689563524245614e-01 -1.003817695008457633e-02 -2.006216245847358692e-02 7.797770131992365350e-02 3.162735286668636597e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.446804233732981615e+00 3.726148365384434946e+00 0.000000000000000000e+00 1.109260538106864757e+00 1.104619348264460577e+01 1.117232759356912730e+01 1.603808602306446697e-07 2.975696735418853489e-02 1.607931845287495776e-01 3.181317597853179358e-01 7.858448082970816984e-01 -1.085645108875432641e-02 -1.916115231574089250e-02 6.940708771946901834e-02 3.039637462623175426e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
