#T1 T2 L2 LInf 
1.620000000000000000e+02 1.630000000000000000e+02 5.410990382267395001e-05 2.452264066162569678e-04
1.630000000000000000e+02 1.640000000000000000e+02 9.532353324734331738e-05 7.491442122585856896e-04
1.640000000000000000e+02 1.650000000000000000e+02 3.810833873525969889e-05 1.817928538522543738e-04
1.650000000000000000e+02 1.660000000000000000e+02 4.384954626085405541e-05 2.608051687304842499e-04
1.660000000000000000e+02 1.670000000000000000e+02 3.647991236549731441e-05 2.140189835122429567e-04
1.670000000000000000e+02 1.680000000000000000e+02 3.100268945422760171e-05 1.469558275905844056e-04
1.680000000000000000e+02 1.690000000000000000e+02 3.044687008500834459e-05 1.955807834215444552e-04
1.690000000000000000e+02 1.700000000000000000e+02 2.655080335173789016e-05 1.492055877068777575e-04
1.700000000000000000e+02 1.710000000000000000e+02 2.795888009897760191e-05 2.028464737658700024e-04
1.710000000000000000e+02 1.720000000000000000e+02 2.181448393599220249e-05 1.289434878703972812e-04
1.720000000000000000e+02 1.730000000000000000e+02 1.725545111519438053e-05 8.162290286147641711e-05
1.730000000000000000e+02 1.740000000000000000e+02 1.676586153367182923e-05 9.335538905167580696e-05
1.740000000000000000e+02 1.750000000000000000e+02 1.590325042956362538e-05 8.721403947980509489e-05
1.750000000000000000e+02 1.760000000000000000e+02 1.375562278220369608e-05 7.556820338987509729e-05
1.760000000000000000e+02 1.770000000000000000e+02 1.257722909673091334e-05 7.212198902351625183e-05
1.770000000000000000e+02 1.780000000000000000e+02 1.186957788268621681e-05 6.316553366171647073e-05
1.780000000000000000e+02 1.790000000000000000e+02 9.679911268285797455e-06 5.715459002483185767e-05
1.790000000000000000e+02 1.800000000000000000e+02 8.896879400727199938e-06 4.769827842373599425e-05
1.800000000000000000e+02 1.810000000000000000e+02 7.805773068632127144e-06 4.949052139658621373e-05
1.810000000000000000e+02 1.820000000000000000e+02 7.299654348618741220e-06 3.477638625547613781e-05
1.820000000000000000e+02 1.830000000000000000e+02 7.176324785851872709e-06 3.979594785096063716e-05
1.830000000000000000e+02 1.840000000000000000e+02 2.781253406037619485e-05 2.277969942963674885e-04
1.840000000000000000e+02 1.850000000000000000e+02 2.799745238391076772e-05 1.475045199980334182e-04
1.850000000000000000e+02 1.860000000000000000e+02 2.259247064821274115e-05 2.105746041348023991e-04
1.860000000000000000e+02 1.870000000000000000e+02 9.620912167891231399e-06 6.158958343903961699e-05
1.870000000000000000e+02 1.880000000000000000e+02 6.025368257349148137e-06 2.862703061377748950e-05
1.880000000000000000e+02 1.890000000000000000e+02 1.850812832535249093e-04 1.684376357106709019e-03
1.890000000000000000e+02 1.900000000000000000e+02 1.528131583292419854e-04 6.622976514517537119e-04
1.900000000000000000e+02 1.910000000000000000e+02 1.172051100239035487e-04 8.969402505726625958e-04
1.910000000000000000e+02 1.920000000000000000e+02 3.759252499707167635e-05 2.939229510398478490e-04
1.920000000000000000e+02 1.930000000000000000e+02 1.656405256529175216e-05 8.939176596481605440e-05
1.930000000000000000e+02 1.940000000000000000e+02 9.377572650569709602e-06 8.935272534172813530e-05
1.940000000000000000e+02 1.950000000000000000e+02 8.318800943569403086e-06 5.477822914766021398e-05
1.950000000000000000e+02 1.960000000000000000e+02 5.751682837802444946e-06 3.931749574051737224e-05
1.960000000000000000e+02 1.970000000000000000e+02 4.099402321836240407e-06 1.757914878839799994e-05
1.970000000000000000e+02 1.980000000000000000e+02 2.660410246442469342e-06 1.237739759976748527e-05
1.980000000000000000e+02 1.990000000000000000e+02 2.348098559478275860e-06 1.007996034653929062e-05
1.990000000000000000e+02 2.000000000000000000e+02 2.130343915606422985e-06 1.078428108345333914e-05
2.000000000000000000e+02 2.010000000000000000e+02 1.959251761765473687e-06 1.018563144230911013e-05
2.010000000000000000e+02 2.020000000000000000e+02 2.124419756384275583e-06 1.028187143416257453e-05
2.020000000000000000e+02 2.030000000000000000e+02 5.301782784854187854e-06 2.589515837964487049e-05
2.030000000000000000e+02 2.040000000000000000e+02 1.829863957341559322e-06 8.685411009432655440e-06
2.040000000000000000e+02 2.050000000000000000e+02 1.932006473344453536e-06 9.594337201664966962e-06
2.050000000000000000e+02 2.060000000000000000e+02 7.170933285523672788e-06 3.372856342406651620e-05
2.060000000000000000e+02 2.070000000000000000e+02 1.269035008262896776e-06 5.964653596968176082e-06
2.070000000000000000e+02 2.080000000000000000e+02 1.275143683104077097e-06 5.785984892296898598e-06
2.080000000000000000e+02 2.090000000000000000e+02 1.168444971752272704e-06 5.076470193916641473e-06
2.090000000000000000e+02 1.500000000000000000e+02 3.017247501798245995e-03 1.670809939468770669e-02
1.500000000000000000e+02 2.100000000000000000e+02 3.060115846564581861e-03 1.804307228798615950e-02
2.100000000000000000e+02 2.110000000000000000e+02 9.171525461609919537e-07 4.478642013940098605e-06
2.110000000000000000e+02 2.120000000000000000e+02 6.483979711902344490e-07 2.587448499390714547e-06
2.120000000000000000e+02 2.130000000000000000e+02 5.606953965310566365e-07 2.629247519738971728e-06
2.130000000000000000e+02 2.140000000000000000e+02 5.051420390019436961e-07 2.387915349714057378e-06
2.140000000000000000e+02 2.150000000000000000e+02 5.432294727762665390e-07 2.460411221163833671e-06
2.150000000000000000e+02 2.160000000000000000e+02 3.354654429779888551e-07 1.096094875098981854e-06
2.160000000000000000e+02 2.170000000000000000e+02 2.938722596903177825e-07 9.620057402428540091e-07
2.170000000000000000e+02 2.180000000000000000e+02 3.475079329143170976e-07 1.660644036042005107e-06
2.180000000000000000e+02 2.190000000000000000e+02 2.754893480992231909e-07 1.302052555343718075e-06
2.190000000000000000e+02 2.200000000000000000e+02 2.751249106854853558e-07 1.476664407828537282e-06
2.200000000000000000e+02 2.210000000000000000e+02 1.924878271039643514e-07 8.616782415524496012e-07
2.210000000000000000e+02 2.220000000000000000e+02 2.344851967723297446e-07 1.469137906135278056e-06
